strategy,term,coef,se,N
cip,const,-31.458845268071855,43.21738073446039,416
cip,relief,-385.1583525644758,118.39356722578441,416
cip,relief_x_exempt,-208.58970293131307,131.22257906330984,416
cip,relief_x_util,-633.5799161070923,120.87163842264522,416
cip,d_VIX,20.19389285130211,8.710072150882006,416
cip,d_HY_OAS,43.859250359712405,170.51565228110732,416
cip,d_BAA10Y,-625.3283531056686,442.221719353862,416
cip,d_issu_7_bil,-1.26707324993643e-12,7.50752480729421e-13,416
cip,d_issu_14_bil,-5.235306153107105,1.695875569793232,416
cip,d_issu_30_bil,6.7940030433411,2.4456382235565535,416
cip,d_SOFR,71.85085019077361,23.163037785640384,416
cip,d_spr_tgcr,-0.35684165618234703,0.5889292948964486,416
eq_spot_fut,const,1.5373825530505711,0.9764104712003874,156
eq_spot_fut,relief,-13.888715322246881,4.095600664469599,156
eq_spot_fut,relief_x_exempt,-12.148118592306957,4.144268377486503,156
eq_spot_fut,relief_x_util,-13.659763935098162,3.0591362855176776,156
eq_spot_fut,d_VIX,0.5970036431083132,0.22794175433549493,156
eq_spot_fut,d_HY_OAS,19.400058232818896,6.234638691544282,156
eq_spot_fut,d_BAA10Y,-22.77710501002922,15.30406432089064,156
eq_spot_fut,d_issu_7_bil,-3.184037551911157e-14,1.6701167090946195e-14,156
eq_spot_fut,d_issu_14_bil,0.17251500654262428,0.06359431457240977,156
eq_spot_fut,d_issu_30_bil,-0.16462960967091492,0.08593623415502898,156
eq_spot_fut,d_SOFR,-3.2317405397803194,0.8186136605185119,156
eq_spot_fut,d_spr_tgcr,-0.07115882290544924,0.03054340228001429,156
tips_treas,const,0.16742837608418432,0.39023105333613756,156
tips_treas,relief,-3.7165697287488277,1.700849848200852,156
tips_treas,relief_x_exempt,-2.9547232753927815,1.9429311484696246,156
tips_treas,relief_x_util,-2.5219978453173235,0.7391390903732128,156
tips_treas,d_VIX,-0.16602683047888595,0.054585304779993724,156
tips_treas,d_HY_OAS,-0.20445464933544363,1.0965082119130676,156
tips_treas,d_BAA10Y,0.7971589537643915,3.455758510480679,156
tips_treas,d_issu_7_bil,-7.793767089889732e-16,3.5427757683469324e-15,156
tips_treas,d_issu_14_bil,-0.01902759497537923,0.01436969149040439,156
tips_treas,d_issu_30_bil,-0.014225920226093768,0.02383085576631314,156
tips_treas,d_SOFR,0.42597438570489377,0.23034008200028236,156
tips_treas,d_spr_tgcr,-0.007545796514182177,0.007512989158534244,156
ust_spot_fut,const,73.67296926334595,45.967671699049525,156
ust_spot_fut,relief,-7.6004374160184796,167.35094884653728,156
ust_spot_fut,relief_x_exempt,71.48546652412145,179.63119469986185,156
ust_spot_fut,relief_x_util,57.97274356978984,157.12961464259467,156
ust_spot_fut,d_VIX,-3.264556928931816,7.894501819702529,156
ust_spot_fut,d_HY_OAS,329.21994577861744,138.17493206605482,156
ust_spot_fut,d_BAA10Y,-349.3069493243611,585.9148147078283,156
ust_spot_fut,d_issu_7_bil,-3.437633390190067e-13,5.946726293403411e-13,156
ust_spot_fut,d_issu_14_bil,5.385459654500764,3.258399385700483,156
ust_spot_fut,d_issu_30_bil,-6.203865645486843,4.098985184537254,156
ust_spot_fut,d_SOFR,28.769409881789432,46.34593518341267,156
ust_spot_fut,d_spr_tgcr,1.3049522737759398,1.7311433632829927,156
