term,coef,se
const,-0.3184997051856371,0.43259233340584885
relief,-3.8425436231297714,1.182096115871773
relief_x_exempt,-2.07640346557553,1.3137239465963173
relief_x_util,-6.351996171359652,1.2094799188690994
d_VIX,0.20078006775116958,0.0864022722367959
d_HY_OAS,0.4064938899327868,1.6958488606932751
d_BAA10Y,-6.156418475199317,4.392193125024759
d_issu_7_bil,-9.031269626282454e-15,5.212487958360088e-15
d_issu_14_bil,-0.05240075737752871,0.016927618441219747
d_issu_30_bil,0.06801814060896956,0.024411355742099367
d_SOFR,0.742487461729573,0.23278718177112093
d_spr_tgcr,-0.0031905275266551464,0.00570011830005516
relief_x_treas,0.0,0.0
relief_x_exempt_x_treas,0.0,0.0
relief_x_util_x_treas,0.0,0.0
