spec,term,coef,se,N
TOTAL,relief,-10.85218592292377,3.1258999407612897,728
TOTAL,relief:treasury_based,-2.4466895482131125e-15,1.05467020817415e-15,728
DIRECT,relief,-4.002170592521258,3.585475304626724,728
DIRECT,relief:treasury_based,1.1992300784259045e-14,4.20902856033855e-15,728
