event,spec,post,se,N
2020-04-01,TOTAL,4.686948330268981,2.3992930512576796,224
2020-04-01,DIRECT,2.6206668501683192,6.593515911350379,224
2021-03-19,TOTAL,-3.7128717075346516,2.0668660836815205,240
2021-03-19,DIRECT,-0.10881926238369735,2.299368116131641,240
2021-03-31,TOTAL,1.2668210942948837,2.2550651592126423,224
2021-03-31,DIRECT,-1.1732284924640326,1.9004042244222257,224
