term,coef,se
const,14.385548006886753,8.623159343123003
relief,-11.909683060537786,2.6983160702738678
relief_x_exempt,-17.98636640813422,5.8581978872785845
relief_x_util,1.5289432552884188,0.8746612496840074
VIX,-0.008319972656991581,0.15121113811762887
HY_OAS,5.7546779785256525,2.053839014884961
BAA10Y,-16.218484163570608,6.603365583363931
issu_7_bil,5.1806810355437224e-14,1.3762637347898162e-14
issu_14_bil,-0.007028450267110464,0.025533153878290787
issu_30_bil,0.04383373380182423,0.0328423243582555
SOFR,235.8126538118832,31.05142615050149
spr_tgcr,79.56556593482674,96.1946210357011
