tenor,regime,sample_start,sample_end,N,mean,std,p1,p5,p50,p95,p99,autocorr1,ljungbox_pvalue
2,pre,2019-01-02,2020-03-31,1248,16.613716606846122,16.156220729827275,-12.840569407879258,-9.772561380598802,19.461887054976756,36.86094034798248,39.42245680606638,0.9941822341152544,0.0
2,relief,2020-04-01,2021-03-31,1000,16.82386586099529,15.999071791972636,-23.646630638676225,-17.151198684131064,22.276635067791652,33.75158092444375,38.568850845173145,0.9944477457320919,0.0
2,post,2021-04-01,2021-12-31,760,11.698582423837403,12.706903437221976,-12.50332932170133,-11.103891006749578,13.402865873101135,27.843259339741522,31.597211770011135,0.9925962948167536,0.0
5,pre,2019-01-02,2020-03-31,1248,16.31353854869224,6.093164454832086,5.134607931491779,6.436241896743411,16.787260552553192,24.28773572191068,24.937614512932072,0.9828942348591886,0.0
5,relief,2020-04-01,2021-03-31,1000,13.653405149212547,7.6355209283821575,-5.231924947912688,-2.220751010038043,16.151514161769633,22.39369536486624,23.71984091837032,0.9964209008672402,0.0
5,post,2021-04-01,2021-12-31,760,8.7470516682081,5.522826971994731,-2.4919132235686714,-0.43446814001812584,9.024111689422973,16.866156865862337,19.706511098355,0.9878700547217721,0.0
10,pre,2019-01-02,2020-03-31,1248,24.08331555220165,3.8668813666495154,17.98657479841424,18.75820564976928,23.490105232557575,29.239227737685155,38.56946490656375,0.9163209295571129,0.0
10,relief,2020-04-01,2021-03-31,1000,22.71488289199019,9.41109619044271,-2.3923859202157303,-0.011900075111981323,26.3123481566685,31.39165332126214,32.16772691879699,0.996318672265761,0.0
10,post,2021-04-01,2021-12-31,760,10.171626260032125,6.174450744346027,-2.482594504998869,-1.0047908832722214,11.429427225783115,19.429858528836604,21.437898707346264,0.9864174750973693,0.0
20,pre,2019-01-02,2020-03-31,1248,23.691212528474686,3.6899084013107517,15.900573650438048,18.371523206046618,24.081107942418583,28.9528588844301,31.09785641468136,0.9625104032643671,0.0
20,relief,2020-04-01,2021-03-31,1000,21.96464835923777,6.443168531418047,5.173662512383288,7.678099032764067,23.40747638424955,29.161996710542766,30.79425542473757,0.9926805592841473,0.0
20,post,2021-04-01,2021-12-31,760,14.302850328079812,3.987406624126415,5.495609987615316,7.553750245881133,15.088085404481035,19.256195309749188,23.72024854511981,0.9643838872903686,0.0
