term,coef,se
const,1.0677980122119837,1.5746869702868493
relief,-14.277096298691006,7.968379147565816
relief_x_exempt,-11.235697317684306,8.583547673337751
relief_x_util,-16.783688675858734,4.547953116787132
d_VIX,0.911108505278218,0.4131791302554574
d_HY_OAS,9.883694015585764,7.397788827951657
d_BAA10Y,-39.92855586251302,25.121955522140816
d_issu_7_bil,2.430112179809362e-14,1.386095565001421e-14
d_issu_14_bil,0.041748713179930855,0.09744377990190238
d_issu_30_bil,0.018250298731296855,0.1336661326012294
d_SOFR,-3.706156942416222,1.41810430451093
d_spr_tgcr,-0.13103149737154768,0.053851879017386924
relief_x_treas,0.0,0.0
relief_x_exempt_x_treas,0.0,0.0
relief_x_util_x_treas,0.0,0.0
