spec,term,coef,se,N
TOTAL,relief,-2.794738894768474,8.877616737338258,90
TOTAL,relief:treasury_based,-9.752580313963799e-14,1.318356287391422e-13,90
DIRECT,relief,-19.23413534416273,11.109530262686189,90
DIRECT,relief:treasury_based,-1.5032426873450009e-12,1.2757255614936164e-12,90
