strategy,term,coef,se,N
eq_spot_fut,const,1.067798012211982,1.574686970286847,52
eq_spot_fut,relief,-14.27709629869103,7.968379147565754,52
eq_spot_fut,relief_x_exempt,-11.235697317684334,8.583547673337671,52
eq_spot_fut,relief_x_util,-16.78368867585874,4.547953116787117,52
eq_spot_fut,d_VIX,0.911108505278213,0.4131791302554565,52
eq_spot_fut,d_HY_OAS,9.883694015585762,7.39778882795165,52
eq_spot_fut,d_BAA10Y,-39.928555862513,25.121955522140873,52
eq_spot_fut,d_issu_7_bil,1.8165663973191305e-14,1.0636574979123161e-14,52
eq_spot_fut,d_issu_14_bil,0.04174871317993277,0.09744377990190221,52
eq_spot_fut,d_issu_30_bil,0.018250298731294065,0.13366613260122875,52
eq_spot_fut,d_SOFR,-3.706156942416218,1.41810430451093,52
eq_spot_fut,d_spr_tgcr,-0.13103149737154812,0.053851879017386875,52
