Date,CIP_AUD_ln,CIP_CAD_ln,CIP_CHF_ln,CIP_EUR_ln,CIP_GBP_ln,CIP_JPY_ln,CIP_NZD_ln,CIP_SEK_ln
2010-01-04,-4.226993283375747,9.626041014133941,-6.042239798910373,15.055380619366968,4.819995426277449,13.747510015655951,-19.271143910317253,27.337807648047168
2010-01-05,-5.232950857108453,11.192493244692006,-5.73021748826272,14.518959134073109,5.455976234302175,14.405551546601204,-20.92535372486816,27.73820540269649
2010-01-06,-3.963290914892376,11.218834132825785,-4.897695038553764,14.04970488984213,6.0917373545713245,13.046345576637886,-25.6583426043373,27.156964416485682
2010-01-07,-8.744712995160386,10.73354796617766,-6.069802172622,13.15388312689232,5.7674149069702505,14.025599081754752,-20.573668936774357,26.943478028797035
2010-01-08,-3.907346222459104,10.517423409369819,-4.666878764894669,13.056255571037246,6.904410147751091,14.671440103278316,-17.57382062982745,25.624807771957762
2010-01-11,-8.16136756751496,11.45093879108923,-5.130992053661318,14.629348614283032,6.60944450295106,14.783588956556017,-16.342716508936224,25.880423201716248
2010-01-12,-3.573541997870385,10.772470239155707,-5.185185476660084,14.262069116418774,7.105468255367848,15.389462515049653,-18.22244317192471,22.27588702569493
2010-01-13,-3.798201819848477,11.000000000000004,-6.089528218736675,14.328986426748891,5.828741632721967,14.79661110438092,-18.612729282794618,20.686574622129157
2010-01-14,-4.203172864412482,10.027340554878183,-5.032287504027513,13.1121043912157,6.507792551122072,13.478401616945192,-15.583226597134713,20.300582357113054
2010-01-15,-4.827495306666688,10.539743299997108,-5.497400169722621,13.318094996401198,6.759557368012396,14.116478326573109,-13.728258164553914,22.350224709023546
2010-01-18,-6.26846185949664,10.725353004912524,-5.129253269034026,12.478348274072617,4.789649694423295,13.673665730169118,-15.948218290319591,23.130564347580798
2010-01-19,-3.3861217806709107,9.63045580691846,-5.767237925753668,12.269744345046183,5.383010925464466,13.203170610698274,-16.903343198184793,24.358998905104208
2010-01-20,-5.981901253934771,8.547809660517276,-6.965221603966673,12.42850120028293,4.612165438340884,12.049678813563416,-16.599337985065045,22.57583247413734
2010-01-21,-13.813434140055513,9.009396076318792,-6.967367655124614,10.548198451128979,3.2840838134404886,12.881642467080624,-13.903001995621858,21.093031646299735
2010-01-22,-5.334982227822235,8.798552114853189,-5.362653343527843,12.693247614640194,3.249762826547341,13.349033731277098,-15.606377744679309,20.779660702777807
2010-01-25,-3.38095303539788,7.7200692045047665,-6.84475435746734,12.095044461493211,2.764715990962591,12.865220563974779,-18.098279531940314,20.532184469024575
2010-01-26,-4.9733779108599885,6.274362322632042,-4.837341683817684,11.493063321280786,4.000471859638678,12.933339845756999,-17.71958584795913,20.008319430291913
2010-01-27,-7.364793422880416,7.091997523587992,-4.110334610610499,12.16078520547025,3.2425372481743007,10.733581031314134,-15.225599201321526,14.128840903317366
2010-01-28,-7.041412222491884,5.03655455303498,-6.383818813545965,12.39346636096347,2.2930197637337266,10.722939650197306,-12.027870260551188,17.759377234380025
2010-01-29,-2.64186149761442,6.590366174096655,-3.4768536984031346,12.850955998177097,3.5618882031875465,12.773884488591785,-13.179922864534444,15.850803632566539
2010-02-01,4.029172655324459,6.363885107558546,-4.80527863049077,13.210803009244625,3.471604811584516,11.48376918099831,-11.168431381674594,16.024769877208136
2010-02-02,-0.2706517416065958,5.280718776468421,-5.9221831863076595,10.819549361697918,4.625620233130379,10.741627280346655,-12.226908489953916,15.707038597520487
2010-02-03,-2.1859687312188507,5.483033138448383,-6.742323726462087,12.819219332016157,2.992532249266385,10.720620211926715,-18.315081226218837,15.035959495643752
2010-02-04,-12.022726018194236,5.4439104115815455,-6.33630720119249,12.225730795363214,2.788587238331847,11.013833748908498,-14.06255236527569,16.859460204892525
2010-02-05,-1.9314353222272878,7.7350899544351845,-0.8583847562263587,13.905844793033465,3.9358149536900715,13.791348251884676,-13.453985738405192,20.827163655678586
2010-02-08,-1.6854262593214036,6.577155086700275,-2.7010824218297227,13.57910994492662,4.0339984410363705,14.454820439739741,-10.968759199854844,18.64752866396116
2010-02-09,-1.4784260996866045,5.583416102765231,-4.203331732880839,13.838381904594058,3.9054485993322907,13.399641388803435,-10.354069248595971,16.898650029866356
2010-02-10,-1.216754731648618,5.254338773646567,-5.365637739547799,13.291117292562465,5.0951890664231945,13.761914660170593,-15.753247108447736,18.06253992174696
2010-02-11,-5.525880613602278,4.023716991333518,-4.476093373625122,13.126611490096996,4.843231804703501,14.202632506565582,-14.789590117003046,19.787402500180008
2010-02-12,-5.713643821995547,4.47814940964935,-3.285180269056349,13.519082722863892,5.211860258473499,14.706155430694388,-14.088423108099652,19.460347684411328
2010-02-15,-6.171018516881279,1.9200080525136267,-5.941369414729943,13.036621307989416,6.001293231284093,14.07193622473939,-10.936617250458523,18.59063046364851
2010-02-16,-1.2164599042984674,4.989954381794796,-3.4643984796257605,13.682445950448388,6.439422758563176,14.288999239968625,-10.40156934738871,21.00447273737085
2010-02-17,-0.1743925768085122,3.957818763130182,-3.2421842432626145,13.6583018790685,6.051718461925642,13.288178900082988,-16.485808209626292,19.099889610120897
2010-02-18,-8.567267235435876,2.7208457565959674,-0.09531704930978513,12.614388109127848,3.9851037790855095,12.76452171870482,-14.450047964673425,19.293844118465056
2010-02-19,-4.565895949235782,1.9964093797292726,-4.4014989878275435,12.312293225863794,5.8062868124276115,13.759777093506658,-12.64833031336609,19.289008505554452
2010-02-22,1.7499992883517772,4.339504435844444,-3.3302191079208496,14.079892068494528,5.149892550660904,14.398943403275403,-9.984459727005593,18.98993045096845
