Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_NDX_rf,ois_fwd_raw,ois_fwd_NDX,spread_NDX,spread_NDX_filtered
2010-01-04,1886.75,204140.0,314877.0,MAR 10,2010-03-19,74.0,1884.75,33.0,671.0,JUN 10,2010-06-18,165.0,NDX,0.00162,0.148515,0.0,2.8825790000000007,0.0,6.736422,2.7340640000000005,6.587907,2.7345192216560004,6.59035276047375,0.0009821903910502972,0.38855883601989777,0.00040936368189403716,0.16194607195808064,22.661276406181713,0.22661276406181713
2010-01-05,1885.25,207245.0,309080.0,MAR 10,2010-03-19,73.0,1883.0,74.0,651.0,JUN 10,2010-06-18,164.0,NDX,0.00155,0.148515,0.0,2.8825790000000007,0.0,6.736422,2.7340640000000005,6.587907,2.7344936657522227,6.5902328971658335,0.0008505044595443767,0.3364633026768963,0.00039168244758625015,0.15495129794620885,18.151200473068744,0.18151200473068743
2010-01-06,1878.5,259627.0,310532.0,MAR 10,2010-03-19,72.0,1876.5,33.0,665.0,JUN 10,2010-06-18,163.0,NDX,0.00146,0.148515,0.0,2.8825790000000007,0.0,6.736422,2.7340640000000005,6.587907,2.7344631733440004,6.590084486260918,0.0009863849239646338,0.3902182116783167,0.0003689478227912879,0.1459573804449051,24.42608312334116,0.2442608312334116
2010-01-07,1877.5,239907.0,317226.0,MAR 10,2010-03-19,71.0,1875.0,47.0,672.0,JUN 10,2010-06-18,162.0,NDX,0.00145,0.148515,0.0,2.8825790000000007,0.0,6.736422,2.7340640000000005,6.587907,2.734454933178889,6.590056304658751,0.0007209746464984512,0.28522073927411257,0.0003664229909807748,0.1449585458825043,14.026219339160825,0.14026219339160825
2010-01-08,1890.0,267314.0,379994.0,MAR 10,2010-03-19,70.0,1887.25,1001.0,6163.0,JUN 10,2010-06-18,161.0,NDX,0.0014299999999999,0.148515,0.0,2.8825790000000007,0.0,6.736422,2.7340640000000005,6.587907,2.734444110842223,6.590013574761958,0.000584112297083994,0.23107739225300863,0.0003613717408021966,0.1429602491085613,8.811714314444732,0.08811714314444732
2010-01-11,1883.5,243454.0,314557.0,MAR 10,2010-03-19,67.0,1880.75,288.0,898.0,JUN 10,2010-06-18,158.0,NDX,0.0014299999999999,0.148515,0.0,2.8825790000000007,0.0,6.736422,2.7340640000000005,6.587907,2.734427820377556,6.589974321816084,0.0005861129905873064,0.23186887539717616,0.00036137604600261497,0.14296195226477076,8.890692313240539,0.08890692313240539
2010-01-12,1865.5,326600.0,306114.0,MAR 10,2010-03-19,66.0,1862.75,311.0,1077.0,JUN 10,2010-06-18,157.0,NDX,0.0014149999999999,0.148515,0.0,2.8825790000000007,0.0,6.736422,2.7340640000000005,6.587907,2.7344186308846674,6.58993968955498,0.000591746435910645,0.23409749112948594,0.00035758779132244456,0.14146330206162644,9.263418906785951,0.0926341890678595
2010-01-13,1882.5,312998.0,331168.0,MAR 10,2010-03-19,65.0,1879.75,710.0,1699.0,JUN 10,2010-06-18,156.0,NDX,0.00147,0.148515,0.0,2.8825790000000007,0.0,6.736422,2.7340640000000005,6.587907,2.7344268330766672,6.5900052483795015,0.000586440815830036,0.2319985645041901,0.00037148473509329705,0.1469609941028428,8.50375704013473,0.0850375704013473
2010-01-14,1888.25,204465.0,324274.0,MAR 10,2010-03-19,64.0,1885.5,784.0,2401.0,JUN 10,2010-06-18,155.0,NDX,0.0014299999999999,0.26226700000000003,0.0,2.8825790000000007,0.0,6.736422,2.6203120000000006,6.474155,2.6206450707697786,6.476148050632986,0.000584652886089776,0.23129125163991138,0.0003613803513062841,0.14296365546182668,8.832759617808469,0.0883275961780847
2010-01-15,1862.25,343007.0,320266.0,MAR 10,2010-03-19,63.0,1859.75,272.0,2533.0,JUN 10,2010-06-18,154.0,NDX,0.00138,0.26226700000000003,0.0,2.8825790000000007,0.0,6.736422,2.6203120000000006,6.474155,2.6206284026740008,6.476065954750832,0.0007268265859481371,0.28753579224321907,0.00034874911042304113,0.1379666810464778,14.956911119674126,0.14956911119674127
