Date,Term1_Futures_Price,Term1_Volume,Term1_OpenInterest,Term1_ContractSpec,Term1_SettlementDate,Term1_TTM,Term2_Futures_Price,Term2_Volume,Term2_OpenInterest,Term2_ContractSpec,Term2_SettlementDate,Term2_TTM,Index,OIS,CumDiv_current,Daily_Div_x,CumDiv_Term1,Daily_Div_y,CumDiv_Term2,Div_Sum1,Div_Sum2,Div_Sum1_Comp,Div_Sum2_Comp,implied_forward_raw,cal_SPX_rf,ois_fwd_raw,ois_fwd_SPX,spread_SPX,spread_SPX_filtered
2010-01-04,1128.75,1282633.0,2440458.0,MAR 10,2010-03-19,74.0,1124.0,1641.0,3354.0,JUN 10,2010-06-18,165.0,SPX,0.00162,0.058362,0.0,4.898752,0.001966,10.441348,4.84039,10.382985999999999,4.841195924935,10.386840683552498,0.0007018797971241053,0.2776667329282175,0.00040936368189403716,0.16194607195808064,11.572066097013684,0.11572066097013683
2010-01-05,1132.25,1368386.0,2402850.0,MAR 10,2010-03-19,73.0,1127.5,686.0,3432.0,JUN 10,2010-06-18,164.0,SPX,0.00155,0.060106,0.0,4.898752,0.001966,10.441348,4.838646,10.381242,4.839406406659583,10.384907155161667,0.0006995938437381888,0.2767623997206022,0.00039168244758625015,0.15495129794620885,12.181110177439333,0.12181110177439333
2010-01-06,1133.0,1252015.0,2396493.0,MAR 10,2010-03-19,72.0,1128.0,1163.0,3713.0,JUN 10,2010-06-18,163.0,SPX,0.00146,0.558086,0.0,4.898752,0.001966,10.441348,4.340666,9.883262,4.341299737236,9.886528692626056,0.00047938904136857197,0.18964841196998453,0.0003689478227912879,0.1459573804449051,4.369103152507941,0.043691031525079416
2010-01-07,1137.5,1553963.0,2406352.0,MAR 10,2010-03-19,71.0,1132.5,1135.0,4154.0,JUN 10,2010-06-18,162.0,SPX,0.00145,0.6199049999999999,0.0,4.898752,0.001966,10.441348,4.278847,9.821443,4.2794588156925695,9.82464724577875,0.00047749013688846986,0.18889719701082325,0.0003664229909807748,0.1449585458825043,4.393865112831893,0.043938651128318934
2010-01-08,1141.5,1508175.0,2758348.0,MAR 10,2010-03-19,70.0,1136.75,1080.0,17466.0,JUN 10,2010-06-18,161.0,SPX,0.0014299999999999,0.6199049999999999,0.0,4.898752,0.001966,10.441348,4.278847,9.821443,4.279441878589861,9.82458354280818,0.0006939744554279592,0.2745393450044674,0.0003613717408021966,0.1429602491085613,13.157909589590611,0.1315790958959061
2010-01-11,1142.5,1444997.0,2427453.0,MAR 10,2010-03-19,67.0,1137.5,419.0,4638.0,JUN 10,2010-06-18,158.0,SPX,0.0014299999999999,0.6199049999999999,0.0,4.898752,0.001966,10.441348,4.278847,9.821443,4.279416383793152,9.824525023376973,0.0004753387022786715,0.18804608002233159,0.00036137604600261497,0.14296195226477076,4.508412775756082,0.04508412775756082
2010-01-12,1134.0,2089364.0,2439036.0,MAR 10,2010-03-19,66.0,1129.0,481.0,4765.0,JUN 10,2010-06-18,157.0,SPX,0.0014149999999999,0.6199049999999999,0.0,4.898752,0.001966,10.441348,4.278847,9.821443,4.279402002112958,9.824473392596758,0.0004788555336459055,0.18943735396980876,0.00035758779132244456,0.14146330206162644,4.797405190818233,0.047974051908182325
2010-01-13,1141.5,2110033.0,2475322.0,MAR 10,2010-03-19,65.0,1136.75,1174.0,5389.0,JUN 10,2010-06-18,156.0,SPX,0.00147,0.7334129999999999,0.0,4.898752,0.001966,10.441348,4.165339,9.707934999999999,4.165891775196458,9.7110269772975,0.0006940375966582035,0.2745643239526959,0.00037148473509329705,0.1469609941028428,12.760332984985311,0.12760332984985312
2010-01-14,1145.25,1346436.0,2473392.0,MAR 10,2010-03-19,64.0,1140.25,333.0,5357.0,JUN 10,2010-06-18,155.0,SPX,0.0014299999999999,0.7553699999999999,0.0,4.898752,0.001966,10.441348,4.143382,9.685978,4.143908669889778,9.688959801421806,0.00047420743003834254,0.18759854375143223,0.0003613803513062841,0.14296365546182668,4.463488828960554,0.044634888289605545
2010-01-15,1132.25,2031715.0,2454453.0,MAR 10,2010-03-19,63.0,1127.5,1432.0,5936.0,JUN 10,2010-06-18,154.0,SPX,0.00138,0.7996199999999999,0.0,4.898752,0.001966,10.441348,4.099132,9.641728,4.099626970189,9.644573916714666,0.0006995619373284523,0.27674977740466244,0.00034874911042304113,0.1379666810464778,13.878309635818464,0.13878309635818464
2010-01-19,1145.75,1915929.0,2472206.0,MAR 10,2010-03-19,59.0,1140.75,793.0,5934.0,JUN 10,2010-06-18,150.0,SPX,0.0014149999999999,0.7996199999999999,0.0,4.898752,0.001966,10.441348,4.099132,9.641728,4.099607300048639,9.644570301066667,0.0004739428509246135,0.18749387509105592,0.00035759762767240133,0.14146719336490604,4.602668172614988,0.046026681726149876
2010-01-20,1134.0,2370298.0,2482172.0,MAR 10,2010-03-19,58.0,1129.0,2246.0,7312.0,JUN 10,2010-06-18,149.0,SPX,0.0014099999999999,0.9720739999999999,0.0,4.898752,0.001966,10.441348,3.926678,9.469274,3.927124005176166,9.472037055242584,0.0004788646290003751,0.18944095213201653,0.00035633571906901196,0.1409679767745542,4.847297535746234,0.04847297535746234
2010-01-21,1111.0,3413319.0,2536905.0,MAR 10,2010-03-19,57.0,1106.25,2710.0,7778.0,JUN 10,2010-06-18,148.0,SPX,0.0014299999999999,1.0015589999999999,0.0,4.898752,0.001966,10.441348,3.897193,9.439789,3.8976341947242084,9.442563773533278,0.0007130067859397737,0.2820686186135369,0.0003613903974131194,0.14296762974584945,13.910098886768743,0.13910098886768743
2010-01-22,1091.0,3516342.0,2615680.0,MAR 10,2010-03-19,56.0,1086.0,2130.0,8881.0,JUN 10,2010-06-18,147.0,SPX,0.00145,1.002284,0.0,4.898752,0.001966,10.441348,3.896468,9.439064,3.8969074350022224,9.441858356238333,0.0004977189336599075,0.19689979793139198,0.00036644512404415686,0.14496730181966644,5.193249611172554,0.05193249611172554
2010-01-25,1092.5,2059400.0,2589797.0,MAR 10,2010-03-19,53.0,1087.75,945.0,8928.0,JUN 10,2010-06-18,144.0,SPX,0.00147,1.016065,0.0,4.898752,0.001966,10.441348,3.8826869999999998,9.425283,3.8831071390891245,9.428054033202,0.0007250630632089639,0.28683813489585386,0.00037150293390664224,0.14696819363339694,13.986994126245692,0.13986994126245691
2010-01-26,1087.25,2431164.0,2620022.0,MAR 10,2010-03-19,52.0,1082.25,3899.0,11586.0,JUN 10,2010-06-18,143.0,SPX,0.0014399999999999,1.035361,0.0,4.898752,0.001966,10.441348,3.863391,9.405987,3.8637927926639994,9.408677112282,0.000499383586952229,0.19755834209099168,0.00036392430374476703,0.14397005422869905,5.358828786229264,0.05358828786229264
2010-01-27,1094.5,2614146.0,2625603.0,MAR 10,2010-03-19,51.0,1089.75,3732.0,12865.0,JUN 10,2010-06-18,142.0,SPX,0.0014724999999999,1.0731,0.0,4.898752,0.001966,10.441348,3.825652,9.368248,3.8260510234737084,9.370968630299389,0.0007237537578981268,0.2863201679596985,0.00037213764831367513,0.1472192894427726,13.910087851692591,0.1391008785169259
