spec,term,coef,se,N
TOTAL,relief,-0.3914183885781475,0.9803522793350233,273
TOTAL,relief:treasury_based,-0.3914183885781348,0.9803522793350237,273
DIRECT,relief,0.36995214513043473,1.1726623043600377,273
DIRECT,relief:treasury_based,0.36995214512995106,1.1726623043600135,273
