strategy,tenor,N_days,mean_absW,median_absW,share_absW_le_5,share_absW_le_10
tips_treas,10,250,22.85213226493883,26.3123481566685,0.108,0.132
tips_treas,2,250,21.412045508980864,22.542522198883972,0.06,0.152
tips_treas,5,250,14.099233380252645,16.151514161769633,0.168,0.252
