term,coef,se
const,0.17174571971319896,0.3909636236877757
relief,-1.843245018051269,0.8511972915994847
relief_x_exempt,-1.466847296102877,0.9761308721419056
relief_x_util,-1.252818752902476,0.37239559760965163
d_VIX,-0.1687459517927162,0.05425072448017321
d_HY_OAS,-0.24101178106372861,1.1008689413364445
d_BAA10Y,1.08256254971598,3.4678602358061044
d_issu_7_bil,6.202803184034019e-16,1.1341366707285593e-15
d_issu_14_bil,-0.01943085324645521,0.014498445683681197
d_issu_30_bil,-0.01353103676947626,0.02407506753778172
d_SOFR,0.41397174647854673,0.2312065564748984
d_spr_tgcr,-0.008102846443350707,0.007697237292644501
relief_x_treas,-1.8432450180512787,0.8511972915994886
relief_x_exempt_x_treas,-1.4668472961028984,0.9761308721419162
relief_x_util_x_treas,-1.25281875290246,0.37239559760965063
