term,estimate,se,ci_low,ci_high,n,event,tenor,spec
"bin_[-40,-21]",-1.112639417089043,5.628199454515342,-12.143910347939112,9.918631513761028,121,2020-04-01,2,TOTAL
"bin_[-60,-41]",12.507368291479077,6.58599943008592,-0.40119059148932656,25.415927174447482,121,2020-04-01,2,TOTAL
"bin_[0,0]",12.415109008982558,2.028347416247969,8.439548073136539,16.390669944828577,121,2020-04-01,2,TOTAL
"bin_[1,20]",1.011965907058742,4.125136851238453,-7.073302321368627,9.097234135486111,121,2020-04-01,2,TOTAL
"bin_[21,40]",2.943114904514178,3.958067105789805,-4.81469662283384,10.700926431862197,121,2020-04-01,2,TOTAL
"bin_[41,60]",14.386312275052873,4.5245654328526514,5.518164026661676,23.25446052344407,121,2020-04-01,2,TOTAL
"bin_[-40,-21]",0.6413591574322792,5.5126426423566155,-10.163420421586686,11.446138736451246,121,2020-04-01,2,DIRECT
"bin_[-60,-41]",11.281127319029466,5.734579124293043,0.041352235415102356,22.520902402643827,121,2020-04-01,2,DIRECT
"bin_[0,0]",11.95811605998232,1.903002751970486,8.228230666120167,15.688001453844473,121,2020-04-01,2,DIRECT
"bin_[1,20]",-0.6787136680489976,4.390545781632207,-9.284183400048123,7.926756063950128,121,2020-04-01,2,DIRECT
"bin_[21,40]",-1.061655258605965,4.553568930602375,-9.98665036258662,7.863339845374689,121,2020-04-01,2,DIRECT
"bin_[41,60]",6.693991706702607,6.313896259525144,-5.681244961966676,19.06922837537189,121,2020-04-01,2,DIRECT
"bin_[-40,-21]",-3.3260648213846427,2.764961299591363,-8.745388968583715,2.0932593258144285,121,2020-04-01,5,TOTAL
"bin_[-60,-41]",2.430659768475565,3.253611225492429,-3.9464182334895956,8.807737770440726,121,2020-04-01,5,TOTAL
"bin_[0,0]",0.4431279197604754,1.1754115033859454,-1.8606786268759774,2.746934466396928,121,2020-04-01,5,TOTAL
"bin_[1,20]",0.630556192543406,1.9481213458677489,-3.187761645357382,4.448874030444194,121,2020-04-01,5,TOTAL
"bin_[21,40]",1.5467934705216517,2.166918572130001,-2.70036693085315,5.793953871896454,121,2020-04-01,5,TOTAL
"bin_[41,60]",6.971978104992677,1.8757274075215458,3.295552386250447,10.648403823734906,121,2020-04-01,5,TOTAL
"bin_[-40,-21]",-2.9220000061950397,2.9643489223820656,-8.73212389406389,2.888123881673809,121,2020-04-01,5,DIRECT
"bin_[-60,-41]",1.529470725814833,3.258366344523255,-4.856927309450747,7.915868761080413,121,2020-04-01,5,DIRECT
"bin_[0,0]",0.5174388719174363,1.0654489546207246,-1.5708410791391838,2.6057188229740564,121,2020-04-01,5,DIRECT
"bin_[1,20]",0.4074775332852646,2.0291643640501498,-3.569684620253029,4.384639686823558,121,2020-04-01,5,DIRECT
"bin_[21,40]",0.34559511402252197,2.2121559205753347,-3.990230490305134,4.681420718350179,121,2020-04-01,5,DIRECT
"bin_[41,60]",4.420904362994972,2.684415160283358,-0.8405493511604094,9.682358077150354,121,2020-04-01,5,DIRECT
"bin_[-40,-21]",-4.0919393495653456,2.0154691541661545,-8.042258891731008,-0.14161980739968305,121,2020-04-01,10,TOTAL
"bin_[-60,-41]",-2.267243705939049,2.153273458313259,-6.487659684233036,1.953172272354938,121,2020-04-01,10,TOTAL
"bin_[0,0]",1.5923329972643057,1.4983583448183162,-1.344449358579594,4.529115353108205,121,2020-04-01,10,TOTAL
"bin_[1,20]",-0.6362356503311837,2.472150799987276,-5.4816512183062445,4.209179917643877,121,2020-04-01,10,TOTAL
"bin_[21,40]",0.9550658712615698,2.5780605047495575,-4.097932718047563,6.0080644605707025,121,2020-04-01,10,TOTAL
"bin_[41,60]",3.2152576630239684,1.6642164254743086,-0.04660653090567646,6.477121856953613,121,2020-04-01,10,TOTAL
"bin_[-40,-21]",-3.612669561539774,2.2651014920966532,-8.052268486049215,0.8269293629696657,121,2020-04-01,10,DIRECT
"bin_[-60,-41]",-3.86109719443564,2.6446017216785065,-9.044516568925513,1.3223221800542326,121,2020-04-01,10,DIRECT
"bin_[0,0]",1.8328445578775021,1.521993661513103,-1.1502630186881797,4.815952134443184,121,2020-04-01,10,DIRECT
"bin_[1,20]",-0.7596533779483788,2.611922842722516,-5.87902214968451,4.359715393787753,121,2020-04-01,10,DIRECT
"bin_[21,40]",-0.7061010924631793,2.8798710494749824,-6.350648349434145,4.938446164507786,121,2020-04-01,10,DIRECT
"bin_[41,60]",-0.4715711694885334,2.8615030369215138,-6.0801171218547,5.136974782877633,121,2020-04-01,10,DIRECT
"bin_[-40,-21]",-4.603676182122081,3.519730699330993,-11.502348352810827,2.294995988566665,121,2020-04-01,20,TOTAL
"bin_[-60,-41]",-4.295036687754132,3.5235518876804828,-11.201198387607878,2.611125012099614,121,2020-04-01,20,TOTAL
"bin_[0,0]",-2.3080054764970894,1.4713732629164222,-5.191897071813277,0.5758861188190982,121,2020-04-01,20,TOTAL
"bin_[1,20]",1.240973193151873,2.0124518173112653,-2.703432368778207,5.185378755081953,121,2020-04-01,20,TOTAL
"bin_[21,40]",3.8448570934683888,2.202305556166021,-0.47166179661701246,8.16137598355379,121,2020-04-01,20,TOTAL
"bin_[41,60]",3.416431858542795,2.496360663793347,-1.4764350424921653,8.309298759577755,121,2020-04-01,20,TOTAL
"bin_[-40,-21]",-7.0431280707726005,3.7317775937962208,-14.357412154613193,0.2711560130679924,121,2020-04-01,20,DIRECT
"bin_[-60,-41]",-6.827966321387292,3.7762916731584393,-14.229498000777832,0.5735653580032487,121,2020-04-01,20,DIRECT
"bin_[0,0]",-0.4421710005856765,1.3866754497994762,-3.1600548821926497,2.2757128810212968,121,2020-04-01,20,DIRECT
"bin_[1,20]",4.732269526980633,2.6815184731809274,-0.523506680453985,9.988045734415252,121,2020-04-01,20,DIRECT
"bin_[21,40]",7.505946947648633,2.8084961889575135,2.0012944172919065,13.01059947800536,121,2020-04-01,20,DIRECT
"bin_[41,60]",8.778311949579662,3.109434369839329,2.683820584694576,14.872803314464747,121,2020-04-01,20,DIRECT
