term,coef,se
const,-1.502201268653728,23.00068138222126
relief,-349.1425518754913,90.44204121468779
relief_x_exempt,-223.38558107161413,95.33525798121907
relief_x_util,-450.76256441790196,107.40210217475537
d_VIX,9.002964850677168,4.558379797413984
d_HY_OAS,82.12474417435027,91.24970605890319
d_BAA10Y,-359.79338299924314,247.1977740851425
d_issu_7_bil,-2.1005767776034874e-13,1.6485250856875612e-13
d_issu_14_bil,-1.48621223686209,1.0652272023282932
d_issu_30_bil,2.0708153423869966,1.438985342251188
d_SOFR,38.39398427701887,13.727449349944102
d_spr_tgcr,0.048471159624071974,0.4170015121734932
relief_x_treas,463.08989899440814,125.51612607209913
relief_x_exempt_x_treas,382.99752145603395,127.80162342666024
relief_x_util_x_treas,453.2828686026142,146.00491005431633
