bin,bin_mid,estimate,se,ci_low,ci_high,nobs,event,strategy,spec
"bin_[-40,-21]",-30.5,-20975.999172243763,5332.080939756136,-31426.87781416579,-10525.120530321736,42,2020-04-01,ust_spot_fut,DIRECT
"bin_[0,0]",0.0,-8.526431582912201e-10,3.9583998247714585e-10,-1.628489523946426e-09,-7.679679263601425e-11,42,2020-04-01,ust_spot_fut,DIRECT
"bin_[1,20]",10.5,-2428.2163765608193,2428.380782208594,-7187.842709689664,2331.4099565680253,42,2020-04-01,ust_spot_fut,DIRECT
"bin_[21,40]",30.5,-544.1129121340064,1342.5746644889928,-3175.559254532432,2087.3334302644193,42,2020-04-01,ust_spot_fut,DIRECT
"bin_[41,60]",50.5,-3565.6402249538196,2118.433669288965,-7717.770216760191,586.4897668525518,42,2020-04-01,ust_spot_fut,DIRECT
"bin_[-60,-41]",-50.5,305.39242512099196,178.36550137637025,-44.20395757669371,654.9888078186776,120,2021-03-19,cip,TOTAL
"bin_[-40,-21]",-30.5,-68.04894891396441,121.66653744164631,-306.5153622995912,170.41746447166236,120,2021-03-19,cip,TOTAL
"bin_[0,0]",0.0,-2.2679605641947332e-11,1.5044221358541825e-11,-5.216627950468931e-11,6.807068220794646e-12,120,2021-03-19,cip,TOTAL
"bin_[1,20]",10.5,202.27212240459286,131.291537167937,-55.059290444563686,459.60353525374944,120,2021-03-19,cip,TOTAL
"bin_[21,40]",30.5,130.71214710999487,203.4149612947608,-267.98117702773624,529.4054712477259,120,2021-03-19,cip,TOTAL
"bin_[41,60]",50.5,-437.3908973960756,278.54963581144636,-983.3481835865105,108.56638879435923,120,2021-03-19,cip,TOTAL
"bin_[-60,-41]",-50.5,-1645.1522908311879,512.0595884320873,-2648.789084158079,-641.5154975042968,120,2021-03-19,cip,DIRECT
"bin_[-40,-21]",-30.5,-2019.476231213208,479.2574427811448,-2958.8208190642517,-1080.1316433621641,120,2021-03-19,cip,DIRECT
"bin_[0,0]",0.0,8.340082594468006e-12,1.203832814404798e-11,-1.5255040567866034e-11,3.1935205756802043e-11,120,2021-03-19,cip,DIRECT
