spec,term,coef,se,N
TOTAL,relief,-584.9369523253272,226.65988582847055,1544
TOTAL,relief:treasury_based,-329.80956727179097,187.6637957968976,1544
DIRECT,relief,-123.92350387241191,254.18780111681912,1544
DIRECT,relief:treasury_based,-329.31138368577876,178.40282048619008,1544
