term,estimate,se,ci_low,ci_high,n,event,tenor,spec
"bin_[-40,-21]",-8.964943968032657,11.455394190712504,-31.41751658182916,13.487628645763849,14,2020-04-01,2,TOTAL
"bin_[-60,-41]",-16.65737588364881,16.847029060401066,-49.6775528420349,16.362801074737277,14,2020-04-01,2,TOTAL
"bin_[1,20]",-24.859389467913285,5.453370115407911,-35.54799489411279,-14.170784041713778,14,2020-04-01,2,TOTAL
"bin_[21,40]",-13.676631517166584,7.5072915526327515,-28.390922960326776,1.0376599259936086,14,2020-04-01,2,TOTAL
"bin_[41,60]",-2.7140626849679315,7.950441756283496,-18.296928527283583,12.86880315734772,14,2020-04-01,2,TOTAL
"bin_[-40,-21]",112.48793870360225,47.112818684625694,20.146814081735897,204.8290633254686,14,2020-04-01,2,DIRECT
"bin_[-60,-41]",98.25410582583316,45.741502082866525,8.600761743414779,187.90744990825155,14,2020-04-01,2,DIRECT
"bin_[1,20]",-53.50799591122604,8.245754966843673,-69.66967564623964,-37.34631617621244,14,2020-04-01,2,DIRECT
"bin_[21,40]",-18.39311981582987,3.252053320807508,-24.767144324612588,-12.019095307047154,14,2020-04-01,2,DIRECT
"bin_[41,60]",-36.03138958270289,10.757743674393595,-57.11656718451434,-14.946211980891448,14,2020-04-01,2,DIRECT
"bin_[-40,-21]",6.071441230653505,10.248375771079342,-14.015375280662006,26.158257741969017,14,2020-04-01,5,TOTAL
"bin_[-60,-41]",2.4815908930887858,14.873962810179272,-26.671376214862587,31.63455800104016,14,2020-04-01,5,TOTAL
"bin_[1,20]",-7.441600176466027,5.265558661592769,-17.762095153187854,2.8788948002558,14,2020-04-01,5,TOTAL
"bin_[21,40]",-1.695749346082021,6.045223682808433,-13.54438776438655,10.152889072222507,14,2020-04-01,5,TOTAL
"bin_[41,60]",4.855665722381191,7.236869527698403,-9.328598551907678,19.03992999667006,14,2020-04-01,5,TOTAL
"bin_[-40,-21]",184.32167238248763,6.428397301744568,171.72201367106828,196.92133109390699,14,2020-04-01,5,DIRECT
"bin_[-60,-41]",175.49278574742573,6.241285424578135,163.2598663152526,187.72570517959886,14,2020-04-01,5,DIRECT
"bin_[1,20]",-28.17628584766487,1.1251075707158007,-30.38149668626784,-25.971075009061902,14,2020-04-01,5,DIRECT
"bin_[21,40]",-3.134873866787057,0.4437325419342462,-4.00458964897818,-2.2651580845959343,14,2020-04-01,5,DIRECT
"bin_[41,60]",-21.14940347949297,1.467860602279828,-24.026410259961434,-18.272396699024508,14,2020-04-01,5,DIRECT
"bin_[-40,-21]",-8.061634058530217,9.195368400541701,-26.084556123591952,9.961288006531518,14,2020-04-01,10,TOTAL
"bin_[-60,-41]",-10.861882217055225,13.766450525368564,-37.84412524677761,16.12036081266716,14,2020-04-01,10,TOTAL
"bin_[1,20]",-10.550639389485411,5.976963972491154,-22.265488775568073,1.1642099965972506,14,2020-04-01,10,TOTAL
"bin_[21,40]",-4.939154672700724,5.553788756152747,-15.824580634760107,5.946271289358659,14,2020-04-01,10,TOTAL
"bin_[41,60]",-5.603718397857563,7.053124349615331,-19.42784212310361,8.220405327388486,14,2020-04-01,10,TOTAL
"bin_[-40,-21]",163.56522768435693,38.16782855174151,88.75628372294358,238.37417164577028,14,2020-04-01,10,DIRECT
