term,coef,se
const,14.385548006886753,8.62315934312159
relief,-11.909683060537787,2.6983160702740063
relief_x_exempt,-17.986366408134224,5.8581978872784175
relief_x_util,1.5289432552884188,0.8746612496839883
VIX,-0.008319972656991581,0.15121113811763598
HY_OAS,5.7546779785256525,2.053839014884792
BAA10Y,-16.218484163570608,6.603365583361815
issu_7_bil,5.1806810355437224e-14,1.3762637347897362e-14
issu_14_bil,-0.0070284502671104365,0.02553315387829087
issu_30_bil,0.04383373380182423,0.03284232435825557
SOFR,235.81265381188317,31.05142615049929
spr_tgcr,79.56556593482674,96.19462103570145
