event,spec,post,se,N
2020-04-01,TOTAL,4.686948330269034,2.706757869244715,56
2020-04-01,DIRECT,2.620666850168142,5.5069981085562825,56
2021-03-19,TOTAL,-3.712871707534519,2.1060811224175318,60
2021-03-19,DIRECT,-0.1088192623835118,2.7884204897704064,60
2021-03-31,TOTAL,1.2668210942948996,2.3617125453905445,56
2021-03-31,DIRECT,-1.1732284924640917,1.6776248276437549,56
