tenor,regime,sample_start,sample_end,N,mean,std,p1,p5,p50,p95,p99,autocorr1,ljungbox_pvalue
2,pre,2019-01-02,2020-03-31,312,16.613716606846122,16.175689972556775,-12.828959422776778,-9.685755969379057,19.461887054976756,36.83979545024895,39.3644659778239,0.9767011329486205,0.0
2,relief,2020-04-01,2021-03-31,250,16.82386586099529,16.023148663068838,-23.192073216585108,-16.74263887652272,22.276635067791652,33.689751616938885,37.58058769692514,0.977701314986337,0.0
2,post,2021-04-01,2021-12-31,190,11.698582423837403,12.73209058470685,-12.494352526349605,-11.096371141282257,13.402865873101135,27.824476740651466,31.180221487847362,0.9702257978787725,0.0
5,pre,2019-01-02,2020-03-31,312,16.31353854869224,6.100507093914933,5.159763865370264,6.4369839667909305,16.787260552553192,24.270456039319544,24.920967496380786,0.931524159894811,0.0
5,relief,2020-04-01,2021-03-31,250,13.653405149212546,7.6470115608097995,-4.954830414218734,-2.080222910555982,16.151514161769633,22.28122905855334,23.595440368053055,0.9856437409407168,0.0
5,post,2021-04-01,2021-12-31,190,8.7470516682081,5.533774112512818,-2.425500902835885,-0.38398009768025987,9.024111689422973,16.858775388971623,19.196400593529074,0.9512263614704731,3.968747447732e-311
10,pre,2019-01-02,2020-03-31,312,24.083315552201654,3.871541197261667,18.02018548710243,18.770192897339168,23.490105232557575,29.214089419139157,38.07770380343682,0.6636855309631907,3.7736919113938803e-249
10,relief,2020-04-01,2021-03-31,250,22.714882891990193,9.42525887142806,-1.9985045169866653,0.04825653247131371,26.3123481566685,31.384954970462122,32.08933972267336,0.9852394142515843,0.0
10,post,2021-04-01,2021-12-31,190,10.171626260032127,6.186689509069798,-2.312152914831327,-0.5551952680679111,11.429427225783115,19.188828009252358,21.282628878930307,0.9453732152188,9.757742207250411e-294
20,pre,2019-01-02,2020-03-31,312,23.691212528474686,3.69435496858141,15.904549270641448,18.37934195821987,24.081107942418583,28.920818819019193,31.042400956364016,0.8493628375261032,7.697572066365058e-234
20,relief,2020-04-01,2021-03-31,250,21.96464835923777,6.452864802564224,5.561072994071569,7.763336073269848,23.40747638424955,29.09787351453474,30.729710951544238,0.970553225726799,0.0
20,post,2021-04-01,2021-12-31,190,14.302850328079808,3.9953103120091673,5.510641976989234,7.608808474716243,15.088085404481035,19.240744148786508,23.340322003590646,0.8573937328459335,6.058242067549259e-181
