term,coef,se,t,p
Q2_treas,-0.3935909664998697,1.5881823775101087,-0.24782479145557984,0.8042817587008719
Q3_treas,6.25396779583547,1.6743887602033534,3.73507511784535,0.00019008112073518027
Q4_treas,-5.532145275162726,1.952963993761891,-2.832691894388922,0.004637183201322665

Wald F,16.7454
Wald p,0.0000
df_num,3
df_denom,4317
N,4340
