series_id,ar1_coef,se,t,n,flag
cip_aud,0.9526612680397915,0.01080538896879954,88.1653840311156,783,
cip_cad,0.9819906923287394,0.007052245200498484,139.24511476987897,783,
cip_chf,0.9574147831531183,0.010429331880450931,91.80020293991477,783,
cip_eur,0.9612123391876537,0.009960174356275699,96.5055735778374,782,
cip_gbp,0.9741930276605059,0.008118133469432957,120.00209547288364,782,
cip_jpy,0.9803505682364614,0.007215111539344531,135.87462409839932,782,
cip_nzd,0.9029486786324882,0.015339945991957586,58.86257220891686,783,
cip_sek,0.9548531148610201,0.0106858851239245,89.35648322881657,783,
eq_indu,0.9536499382925037,0.011063603937049518,86.19704245729051,746,
eq_ndx,0.9559635630198272,0.01073112933936717,89.0832206739763,746,
eq_spx,0.9512455013965069,0.011357498260525218,83.75484455962552,745,
tips_treas_10y,0.9633288109230792,0.009843016975087514,97.86926237770857,751,
tips_treas_2y,0.9571650936755743,0.010738905165868565,89.13060306349755,751,
tips_treas_5y,0.9627188077803137,0.009848608245546162,97.7517618507858,751,
ust_sf_10y,0.8810552753795176,0.01723277934578153,51.1267078688148,756,LOW AR1
ust_sf_2y,0.9379902543123462,0.012757149532361704,73.5266331975571,756,
ust_sf_5y,0.9503005547001884,0.011384746673967348,83.47138341454446,756,
