term,coef,se
const,13.153919585646886,8.523027449193865
relief,-20.84495758902171,18.15330704735339
relief_x_exempt,-15.344619463625929,13.388276679113645
relief_x_util,-1.1535492638331704,11.187830755634138
d_VIX,-0.4050134659295992,1.3842072763267592
d_HY_OAS,61.691493418534,29.72528850953219
d_BAA10Y,-68.4639384935484,102.53436334919428
d_issu_7_bil,2.8475113516662265e-14,4.703187503847742e-14
d_issu_14_bil,0.9528245121150358,0.6042173723405981
d_issu_30_bil,-1.094390781334385,0.7570952144720517
d_SOFR,4.919941129317836,8.390995206695996
d_spr_tgcr,0.2147173900337837,0.31070598882299133
relief_x_treas,41.322407234526914,89.64151589199392
relief_x_exempt_x_treas,68.88653810273246,89.29015407216701
relief_x_util_x_treas,15.71614826078643,91.61281349640636
