spec,term,coef,se,N
TOTAL,relief,-14.985528167443167,18.63746759512141,1544
TOTAL,relief:treasury_based,-513.1934078989758,112.42869446646269,1544
DIRECT,relief,127.34148130002998,46.14607897034415,1544
DIRECT,relief:treasury_based,-513.0693202721502,110.36918556734364,1544
