strategy,tenor,regime,N_days,mean_W,median_W,p5_W,p95_W,mean_absW,share_absW_le_5,share_absW_le_10
cip,3m,post,1573,17.170611944537182,15.46559343995716,3.5420426849610243,38.89310572562128,17.172416520696896,0.09599491417673237,0.2638270820089002
cip,3m,pre,2608,25.876115506449892,26.548694332728417,-18.63940899799365,71.01725200976118,31.068785849997514,0.09125766871165644,0.17254601226993865
cip,3m,relief,2088,25.478683363355508,24.641097043921192,8.273777247915392,48.13158512749415,25.939702544337052,0.017720306513409962,0.06561302681992337
eq_spot_fut,index,post,567,50.90186783566088,46.87619031266731,27.512872932155485,80.4669219775513,50.90186783566088,0.0,0.0
eq_spot_fut,index,pre,929,32.40107963342761,26.63198374401312,5.909241572191022,69.26515991278505,32.807585844405345,0.031216361679224973,0.0861141011840689
eq_spot_fut,index,relief,744,45.810291471080596,40.498815241216214,16.567506583699778,96.5567773037014,45.81154164212824,0.006720430107526882,0.009408602150537635
tips_treas,10,post,190,10.171626260032127,11.429427225783115,-0.5551952680679111,19.188828009252358,10.359876618993392,0.2736842105263158,0.4
tips_treas,10,pre,312,24.083315552201654,23.490105232557575,18.770192897339168,29.214089419139157,24.083315552201654,0.0,0.0
tips_treas,10,relief,250,22.714882891990193,26.3123481566685,0.04825653247131371,31.384954970462122,22.85213226493883,0.108,0.132
tips_treas,2,post,190,11.698582423837403,13.402865873101135,-11.096371141282257,27.824476740651466,14.82638521458558,0.15263157894736842,0.38421052631578945
tips_treas,2,pre,312,16.613716606846122,19.461887054976756,-9.685755969379057,36.83979545024895,19.438699370719583,0.1891025641025641,0.32051282051282054
tips_treas,2,relief,250,16.82386586099529,22.276635067791652,-16.74263887652272,33.689751616938885,21.412045508980864,0.06,0.152
tips_treas,5,post,190,8.7470516682081,9.024111689422973,-0.38398009768025987,16.858775388971623,8.967849322602627,0.22105263157894736,0.5684210526315789
tips_treas,5,pre,312,16.31353854869224,16.787260552553192,6.4369839667909305,24.270456039319544,16.31353854869224,0.009615384615384616,0.22435897435897437
tips_treas,5,relief,250,13.653405149212546,16.151514161769633,-2.080222910555982,22.28122905855334,14.099233380252645,0.168,0.252
ust_spot_fut,10,post,192,1005.8698784722222,891.9944444444445,278.49277777777775,2010.6224999999997,1016.7705729166668,0.0,0.0
ust_spot_fut,10,pre,314,-2153.668506723284,-2337.094444444443,-4401.122777777777,694.3472222222206,2470.1731068648264,0.0,0.0
ust_spot_fut,10,relief,251,-539.043160690571,-609.7,-1603.9166666666667,767.6944444444443,817.4581230633024,0.00398406374501992,0.00398406374501992
ust_spot_fut,2,post,192,998.7076967592593,804.5,-318.18277777777763,2739.0916666666667,1256.4642939814814,0.005208333333333333,0.005208333333333333
ust_spot_fut,2,pre,314,-2540.439048124558,-2426.800000000003,-4301.139444444443,-958.3833333333363,2563.329847841472,0.0,0.0
ust_spot_fut,2,relief,251,-578.7699867197875,-599.6222222222221,-1611.0500000000002,944.9,755.6239043824701,0.0,0.0
ust_spot_fut,5,post,192,549.9566550925925,527.2555555555554,-36.631666666666725,1276.3999999999999,578.954224537037,0.0,0.0
ust_spot_fut,5,pre,314,-2629.6348195329083,-2626.9444444444403,-4377.473333333333,-664.4555555555531,2636.795187544232,0.0,0.0
ust_spot_fut,5,relief,251,-625.3444444444444,-650.488888888889,-1779.3333333333335,593.3,767.8420097388225,0.00398406374501992,0.00796812749003984
