event,spec,window,term,coef,se,n_obs
2020-04-01,TOTAL,"[-60,+60] trading days",post,-7.495425140188209,5.306243166720141,104
2020-04-01,TOTAL,"[-60,+60] trading days",post:treasury_based,-8.134819961103636e-15,1.5026368501007163e-15,104
2020-04-01,DIRECT,"[-60,+60] trading days",post,-21.84238605520684,11.83603162076719,104
2020-04-01,DIRECT,"[-60,+60] trading days",post:treasury_based,1.9983616238679093e-14,3.118071603393377e-14,104
2021-03-19,TOTAL,"[-60,+60] trading days",post,-1.661282036210616,1.2362453237207356,120
2021-03-19,TOTAL,"[-60,+60] trading days",post:treasury_based,-1.696601903815882e-15,2.922013427130518e-16,120
2021-03-19,DIRECT,"[-60,+60] trading days",post,-1.2698187731331516,1.6370348187154982,120
2021-03-19,DIRECT,"[-60,+60] trading days",post:treasury_based,2.4005982439559665e-14,1.0857353634186276e-14,120
2021-03-31,TOTAL,"[-60,+60] trading days",post,-0.2718631285928108,1.4556699792100363,112
2021-03-31,TOTAL,"[-60,+60] trading days",post:treasury_based,-7.837162714023892e-16,2.231620160955668e-16,112
2021-03-31,DIRECT,"[-60,+60] trading days",post,1.8241258646786884,1.090319348621404,112
2021-03-31,DIRECT,"[-60,+60] trading days",post:treasury_based,3.0921199518200786e-14,7.215699537401916e-15,112
