strategy,term,coef,se,N
cip,const,-0.31849970518564463,0.4325923334058474,416
cip,relief,-3.842543623129743,1.1820961158717624,416
cip,relief_x_exempt,-2.076403465575523,1.3137239465963164,416
cip,relief_x_util,-6.3519961713596365,1.2094799188690912,416
cip,d_VIX,0.20078006775117324,0.08640227223679599,416
cip,d_HY_OAS,0.4064938899327908,1.695848860693267,416
cip,d_BAA10Y,-6.156418475199315,4.392193125024738,416
cip,d_issu_7_bil,9.957049410599058e-15,5.9464413076600415e-15,416
cip,d_issu_14_bil,-0.05240075737752871,0.016927618441219667,416
cip,d_issu_30_bil,0.06801814060896932,0.024411355742099326,416
cip,d_SOFR,0.7424874617295769,0.23278718177112062,416
cip,d_spr_tgcr,-0.003190527526655411,0.005700118300055173,416
