event,strategy,spec,ref_bin,bin,bin_mid,estimate,se,ci_low,ci_high,nobs
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,36.24074012045649,12.54322641426167,11.656016348503623,60.82546389240936,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,29.370632687174982,12.065900599021974,5.721467513091913,53.019797861258056,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,64.53307601313995,16.280593373697627,32.6231130006926,96.4430390255873,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,18.513141792880184,10.210574196594912,-1.4995836324458445,38.525867218206216,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,-10.388081243053504,12.255091160087943,-34.40805991682587,13.631897430718864,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,-6.205321800357135,10.923336162975819,-27.615060679789735,15.204417079075467,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,36.27308486760242,14.456642816297173,7.938064947659964,64.60810478754487,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,31.54535789254129,13.155195629261561,5.761174459188631,57.32954132589395,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[0,0]",0.0,61.99543092921898,17.79011697870392,27.1268016509593,96.86406020747867,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[1,20]",10.5,12.464866428281208,16.26032391489375,-19.40536844491054,44.33510130147296,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[21,40]",30.5,-18.266706117572454,17.141536191491177,-51.86411705289516,15.330704817750252,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[41,60]",50.5,-18.615546959247602,19.80794916587931,-57.43912732437105,20.208033405875845,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-3.3731171942706144,1.6083343176482159,-6.525452456861117,-0.2207819316801114,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-1.449737888074166,1.2435139145650584,-3.8870251606216804,0.9875493844733483,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,6.973908017735649,1.3737400887394164,4.281377443806393,9.666438591664905,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,2.5620379069504033,1.6924460010716518,-0.7551562551500339,5.879232069050841,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,2.529461423083097,1.5636131743178052,-0.5352203985798014,5.594143244745995,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,3.3945100510903603,1.7777702647796623,-0.08991966787777761,6.878939770058498,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-3.3297657423306575,2.4396732618390353,-8.111525335535166,1.4519938508738512,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-1.4559011433602453,1.0008877423917943,-3.417641118448162,0.5058388317276716,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[0,0]",0.0,7.240724858216609,1.4485653337612832,4.401536804044494,10.079912912388725,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[1,20]",10.5,2.9486031158230954,1.7124116670301222,-0.407723751555944,6.304929983202134,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[21,40]",30.5,2.9541940243212075,1.5851045067745333,-0.15261080895687762,6.060998857599293,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[41,60]",50.5,3.808326370278197,1.7854797072535158,0.308786144061306,7.307866596495089,121
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-6.6051123727765635,1.3544594250242912,-9.259852845824174,-3.9503718997289528,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-6.472358532413377,1.0666728691051353,-8.563037355859443,-4.381679708967312,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,-1.8531432974027098,1.390304948890351,-4.5781409972277975,0.871854402422378,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,-2.324412834794174,2.6639773942425897,-7.545808527509649,2.8969828579213015,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,-0.08926517267319412,2.685943428962453,-5.3537142934396025,5.175183948093214,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,-2.900222192203344,2.225763053365526,-7.262717776799775,1.4622733923930866,16
2021-03-31,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-22.39461656543753,3.7108056586084084,-29.667795656310012,-15.12143747456505,16
2021-03-31,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-18.526982085878316,3.0163928931288315,-24.439112156410825,-12.614852015345807,16
2021-03-31,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[0,0]",0.0,-12.416041757549237,2.6200460526674494,-17.551332020777437,-7.280751494321037,16
2021-03-31,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[1,20]",10.5,-9.851087147969423,2.438255866201093,-14.630068645723565,-5.072105650215281,16
2021-03-31,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[21,40]",30.5,-12.963611121082863,3.579485689688743,-19.9794030728728,-5.947819169292927,16
2021-03-31,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[41,60]",50.5,-25.70925395122299,5.471199211001772,-36.43280440478647,-14.985703497659518,16
