spec,term,coef,se,N
TOTAL,relief,-2.6665516881670506,8.727830276178626,90
TOTAL,relief:treasury_based,-6.693396220956089e-14,1.343812088175378e-13,90
DIRECT,relief,-21.792042091504335,11.652436515049171,90
DIRECT,relief:treasury_based,-7.345088618923292e-13,1.307427512102277e-12,90
