term,coef,se
const,1.525866183329297,1.5824620415594135
relief,-17.5295230890952,4.978283844935325
relief_x_exempt,-16.24170958126347,5.853437063874751
relief_x_util,-15.476510117973188,2.9411976771588453
d_VIX,0.3152447652281789,0.34622490531336564
d_HY_OAS,16.504851128509568,5.02723321940892
d_BAA10Y,-8.363411822256907,23.627395445719518
d_issu_7_bil,7.440410317480372e-15,1.2797070368978015e-14
d_issu_14_bil,0.17601404109697877,0.0862677730429799
d_issu_30_bil,-0.18334570515710702,0.10550193935849793
d_SOFR,-3.297941055448027,1.0806607033967162
d_spr_tgcr,-0.034985851416145394,0.0358878490036413
relief_x_treas,0.0,0.0
relief_x_exempt_x_treas,0.0,0.0
relief_x_util_x_treas,0.0,0.0
