strategy,term,coef,se,N
eq_spot_fut,const,1.5258661833292948,1.5824620415594166,52
eq_spot_fut,relief,-17.52952308909519,4.97828384493533,52
eq_spot_fut,relief_x_exempt,-16.241709581263443,5.853437063874766,52
eq_spot_fut,relief_x_util,-15.476510117973179,2.941197677158843,52
eq_spot_fut,d_VIX,0.3152447652281709,0.3462249053133652,52
eq_spot_fut,d_HY_OAS,16.504851128509564,5.027233219408912,52
eq_spot_fut,d_BAA10Y,-8.363411822256904,23.627395445719557,52
eq_spot_fut,d_issu_7_bil,5.222952579625025e-15,9.798723573041576e-15,52
eq_spot_fut,d_issu_14_bil,0.1760140410969811,0.08626777304298015,52
eq_spot_fut,d_issu_30_bil,-0.1833457051571099,0.10550193935849791,52
eq_spot_fut,d_SOFR,-3.297941055448027,1.0806607033967135,52
eq_spot_fut,d_spr_tgcr,-0.034985851416145984,0.03588784900364104,52
