date,spread_2y_bps,spread_5y_bps,spread_10y_bps,spread_20y_bps,sofr,sofr_volume,fed_treasury_holdings,fed_assets,bid_ask_spread,pubout,n_issues,buyback_dummy,refunding_dummy
2010-01-04,43.53460917889461,38.55963009041341,23.935081988752927,32.341544291976106,,,,,,,,0.0,0.0
2010-01-05,39.490811383053895,39.74736468069784,22.43977553567197,25.376303970814376,,,,,,,,0.0,0.0
2010-01-06,38.344763627218285,36.5876845937363,19.82181349168053,18.18714805447371,,,776595.0,2235304.0,,,,0.0,0.0
2010-01-07,30.474541759293317,37.98712162342173,21.67014323281927,26.12745153194311,,,776595.0,2235304.0,,,,0.0,0.0
2010-01-08,40.81044888427199,32.985985623488205,22.848053078936573,24.52628806275618,,,776595.0,2235304.0,,,,0.0,0.0
2010-01-09,,,,,,,776595.0,2235304.0,,,,0.0,0.0
2010-01-10,,,,,,,776595.0,2235304.0,,,,0.0,0.0
2010-01-11,31.820939088222914,39.33304767473663,18.69128028954225,26.733888217087554,,,776595.0,2235304.0,,,,0.0,0.0
2010-01-12,29.923189307052837,36.2780510317462,16.34606135739739,29.27957551367649,,,776595.0,2235304.0,,,,0.0,0.0
2010-01-13,30.97096872134442,37.23627386445162,16.280923573426207,28.399410233002072,,,776603.0,2291700.0,,,,0.0,0.0
2010-01-14,39.28452182613063,32.53704315097525,19.00110149323234,24.62471502016507,,,776603.0,2291700.0,,,,0.0,0.0
2010-01-15,27.930815788836938,30.943748594631813,13.291599409073228,27.96634170500795,,,776603.0,2291700.0,,,,0.0,0.0
2010-01-16,,,,,,,776603.0,2291700.0,,,,0.0,0.0
2010-01-17,,,,,,,776603.0,2291700.0,,,,0.0,0.0
2010-01-18,,,,,,,776603.0,2291700.0,,,,0.0,0.0
2010-01-19,27.749018245173403,31.220107101392898,11.872913461621351,27.245178685120266,,,776603.0,2291700.0,,,,0.0,0.0
2010-01-20,26.68573677504061,31.901257398847548,12.050635795364258,28.157780536517407,,,776611.0,2251806.0,,,,0.0,0.0
2010-01-21,28.53175700134436,28.48349173645957,12.371388877034917,27.45425129518918,,,776611.0,2251806.0,,,,0.0,0.0
2010-01-22,27.229240750754627,28.29256821822665,13.196150780279083,30.352751380480242,,,776611.0,2251806.0,,,,0.0,0.0
2010-01-23,,,,,,,776611.0,2251806.0,,,,0.0,0.0
2010-01-24,,,,,,,776611.0,2251806.0,,,,0.0,0.0
2010-01-25,28.904871210391207,29.779570171273292,12.782778761526458,31.195457055463976,,,776611.0,2251806.0,,,,0.0,0.0
2010-01-26,30.046054893821946,28.327341243363776,13.199580871039473,31.34515082041662,,,776611.0,2251806.0,,,,0.0,0.0
2010-01-27,30.160959310470133,32.07736124985374,14.296221094214332,33.79300081369996,,,776619.0,2246886.0,,,,0.0,0.0
2010-01-28,28.433041143902656,34.56421574967058,13.585684557946252,30.36136468454572,,,776619.0,2246886.0,,,,0.0,0.0
2010-01-29,28.105831260740743,25.434708647382735,13.01970049683024,30.727824528344854,,,776619.0,2246886.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-01-30,,,,,,,776619.0,2246886.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-01-31,,,,,,,776619.0,2246886.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-01,26.78759012797238,31.477401429875727,13.30262047217093,31.782312458024137,,,776619.0,2246886.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-02,23.302018176951663,29.811555734351458,13.766821777572204,31.298969225064297,,,776619.0,2246886.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-03,22.55687095986447,29.171103233223135,10.540602495912026,29.228283281934637,,,776614.0,2249319.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-04,24.497191572856465,29.144528528122237,13.834209113376915,31.08018628066759,,,776614.0,2249319.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-05,22.132923195796735,30.53258943802814,15.182790472465513,30.071837621270504,,,776614.0,2249319.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-06,,,,,,,776614.0,2249319.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-07,,,,,,,776614.0,2249319.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-08,21.413713137974355,28.532016632232285,13.373537012015788,27.39865090688687,,,776614.0,2249319.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-09,21.152283340839517,30.39813127120985,14.419569128998319,28.854317980133658,,,776614.0,2249319.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-10,18.28792308748328,27.90042664542193,14.88634812310653,27.466675375031855,,,776592.0,2256679.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-11,18.91762942804354,32.83728465903525,15.272074383667587,24.901982513922974,,,776592.0,2256679.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-12,18.922053633634306,29.129178641560372,14.556354033528066,23.428680744881376,,,776592.0,2256679.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-13,,,,,,,776592.0,2256679.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-14,,,,,,,776592.0,2256679.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-15,,,,,,,776592.0,2256679.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-16,18.425984301642103,28.152924202067254,14.38610538143206,23.612235031442708,,,776592.0,2256679.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-17,19.26188500689375,28.28837820022079,12.29706700581977,23.540858909487667,,,776571.0,2277574.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-18,19.279913371519356,25.04347689972431,11.155752591314183,22.717141301387187,,,776571.0,2277574.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-19,18.537270719305454,21.505753320298936,13.698007135447597,24.93824414505633,,,776571.0,2277574.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-20,,,,,,,776571.0,2277574.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-21,,,,,,,776571.0,2277574.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-22,12.95686779614779,27.111556932259987,14.413352795699154,27.101394236908106,,,776571.0,2277574.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-23,12.979203338998602,28.404642441313115,15.292904523320772,28.169252807706016,,,776571.0,2277574.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-24,12.998664680179417,27.633986382378254,15.096457820857893,27.027356790094643,,,776549.0,2286127.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-25,11.946577879415884,26.685092323444053,16.191322367855605,27.743734487140046,,,776549.0,2286127.0,0.0439452500000001,3991413.0,184.0,0.0,0.0
2010-02-26,12.581370834099374,24.255690716452648,16.468544176124794,26.36092749137788,,,776549.0,2286127.0,0.0390625,3905747.0,180.0,0.0,0.0
2010-02-27,,,,,,,776549.0,2286127.0,0.0390625,3905747.0,180.0,0.0,0.0
2010-02-28,,,,,,,776549.0,2286127.0,0.0390625,3905747.0,180.0,0.0,0.0
2010-03-01,11.531635501631513,25.673912039914114,14.694571113869074,26.740733489762874,,,776549.0,2286127.0,0.0390625,3905747.0,180.0,0.0,0.0
2010-03-02,10.481243849547184,25.142014290830986,14.464118055144127,26.52574237999471,,,776549.0,2286127.0,0.0390625,3905747.0,180.0,0.0,0.0
2010-03-03,11.1173234036155,25.615341464786383,14.185482453097393,24.500974595578214,,,776553.0,2280147.0,0.0390625,3905747.0,180.0,0.0,0.0
2010-03-04,11.419005473702896,27.621185687063388,14.603414320735169,25.156223606643835,,,776553.0,2280147.0,0.0390625,3905747.0,180.0,0.0,0.0
