strategy,series_id,tenor,regime,N_days,mean_W,median_W,p5_W,p95_W,mean_absW,share_absW_le_5,share_absW_le_10
ust_spot_fut,ust_spot_fut_10y,10,post,192,1005.8698784722222,891.9944444444445,278.49277777777775,2010.6224999999997,1016.7705729166668,0.0,0.0
ust_spot_fut,ust_spot_fut_10y,10,pre,314,-2153.668506723284,-2337.094444444443,-4401.122777777777,694.3472222222206,2470.1731068648264,0.0,0.0
ust_spot_fut,ust_spot_fut_10y,10,relief,251,-539.043160690571,-609.7,-1603.9166666666667,767.6944444444443,817.4581230633024,0.00398406374501992,0.00398406374501992
ust_spot_fut,ust_spot_fut_2y,2,post,192,998.7076967592593,804.5,-318.18277777777763,2739.0916666666667,1256.4642939814814,0.005208333333333333,0.005208333333333333
ust_spot_fut,ust_spot_fut_2y,2,pre,314,-2540.439048124558,-2426.800000000003,-4301.139444444443,-958.3833333333363,2563.329847841472,0.0,0.0
ust_spot_fut,ust_spot_fut_2y,2,relief,251,-578.7699867197875,-599.6222222222221,-1611.0500000000002,944.9,755.6239043824701,0.0,0.0
ust_spot_fut,ust_spot_fut_5y,5,post,192,549.9566550925925,527.2555555555554,-36.631666666666725,1276.3999999999999,578.954224537037,0.0,0.0
ust_spot_fut,ust_spot_fut_5y,5,pre,314,-2629.6348195329083,-2626.9444444444403,-4377.473333333333,-664.4555555555531,2636.795187544232,0.0,0.0
ust_spot_fut,ust_spot_fut_5y,5,relief,251,-625.3444444444444,-650.488888888889,-1779.3333333333335,593.3,767.8420097388225,0.00398406374501992,0.00796812749003984
