spec,term,coef,se,N
TOTAL,relief,-539.1973394662868,83.7941736638347,273
TOTAL,relief:treasury_based,-539.1973394662855,83.7941736638344,273
DIRECT,relief,-136.0629133624078,90.05028016194363,273
DIRECT,relief:treasury_based,-136.06291336246684,90.05028016193955,273
