term,coef,se
const,73.35425158791114,45.98942483102196
relief,-2.9012768389011825,83.31522636757208
relief_x_exempt,36.51120143846232,89.57812744227776
relief_x_util,29.12392661655808,78.95811669789758
d_VIX,-2.9985094617781005,7.9095608138745535
d_HY_OAS,330.44242200175756,137.50761327673456
d_BAA10Y,-351.3788069798596,586.2899625206944
d_issu_7_bil,-2.5152530550954565e-14,8.81048573161985e-14
d_issu_14_bil,5.4005385895838725,3.2589868035375966
d_issu_30_bil,-6.243910860459554,4.105983895751621
d_SOFR,30.731045078492265,47.28349928311559
d_spr_tgcr,1.3495918338212967,1.754007325333689
relief_x_treas,-2.901276838899186,83.31522636757262
relief_x_exempt_x_treas,36.51120143846376,89.57812744227823
relief_x_util_x_treas,29.123926616557455,78.95811669789771
