event,spec,N,post,se
2020-04-01,TOTAL,484,4.997179969121701,1.5494589177332518
2020-04-01,DIRECT,484,1.0163320297716396,2.597884972870768
2021-03-19,TOTAL,484,-5.042961312165814,2.146487545598939
2021-03-19,DIRECT,484,-1.044631745831152,1.6671832452258168
2021-03-31,TOTAL,484,1.849296497555713,2.4863910612174975
2021-03-31,DIRECT,484,3.898105016753048,1.710445476739727
