term,coef,se
const,11.50281934653944,7.014369919322222
relief,-11.856492808237977,2.3482463891561793
relief_x_exempt,-19.747536877062277,4.228362960253491
relief_x_util,0.9040650648089279,0.847374934485447
VIX,0.004960368260188308,0.12801138198308853
HY_OAS,4.4799303188739605,1.9062052429148242
BAA10Y,-12.851255128994996,5.6603688789756434
issu_7_bil,-8.461262232469603e-14,7.725572843832216e-15
issu_14_bil,-0.08693218003856776,0.07519410281438728
issu_30_bil,0.20622696873645874,0.1507609303514591
SOFR,247.12790712297624,24.946765062944028
spr_tgcr,146.01090891358388,87.17209810165441
