event,strategy,spec,ref_bin,bin,bin_mid,estimate,se,ci_low,ci_high,nobs
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,39.93405222541459,14.516477329289206,11.481756660007747,68.38634779082143,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,36.12981994684236,13.92104604982119,8.84456968919283,63.41507020449189,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,84.98889579626696,15.729481714585903,54.159111635678585,115.81867995685533,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,34.092334183766496,10.342738774427854,13.820566185887902,54.364102181645094,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,-0.815924248885409,14.868952280703274,-29.959070719063824,28.327222221293006,121
2020-04-01,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,-14.926720746434972,11.972795179834915,-38.393399298911405,8.539957806041459,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,43.72758641192243,16.85304666544673,10.695614947646838,76.75955787619802,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,39.73209486027622,15.832581792599893,8.700234546780433,70.763955173772,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[0,0]",0.0,80.99749555527441,17.83191526645954,46.04694163301372,115.94804947753511,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[1,20]",10.5,25.7353258263101,15.388230917792844,-4.425606772563874,55.89625842518407,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[21,40]",30.5,-9.40996558256801,19.165090964233443,-46.973543872465555,28.15361270732954,121
2020-04-01,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[41,60]",50.5,-27.292617670526276,20.09691922855835,-66.68257935850065,12.097344017448087,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-5.812542087937798,2.689523900651989,-11.084008933215696,-0.5410752426599004,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-1.6439366023955997,1.6111946649126665,-4.801878145624427,1.5140049408332268,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,3.834788628178501,1.8808783176360167,0.14826712561190813,7.521310130745094,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,-6.497290655233405,2.9093382867050352,-12.199593697175274,-0.7949876132915357,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,-3.250925623167913,2.7436411956823807,-8.62846236670538,2.1266111203695535,121
2021-03-19,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,-1.4241892438328614,2.9211582052153116,-7.149659326054872,4.3012808383891485,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-2.9333910205896476,4.347580088520494,-11.454647994089814,5.587865952910519,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-0.40722696466234964,2.3549873291554495,-5.023002129807031,4.208548200482332,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[0,0]",0.0,4.236057015981906,1.964823002339941,0.38500393139562217,8.08711010056819,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[1,20]",10.5,-5.9708404677760765,2.8521276685235573,-11.56101069808225,-0.38067023746990447,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[21,40]",30.5,-2.7003453642121205,2.712499067605546,-8.01684353671899,2.616152808294749,121
2021-03-19,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[41,60]",50.5,-0.8485075922173331,2.8872218605665525,-6.507462438927776,4.810447254493109,121
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-8.004534715149113,4.254201858033021,-16.342770356893833,0.3337009265956077,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-3.3162381964601018,2.9918040940915067,-9.180174220879454,2.5476978279592517,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[0,0]",0.0,-2.734609478744808,4.838049503378121,-12.217186505365925,6.747967547876309,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[1,20]",10.5,-6.789259088171505,9.481908628420234,-25.373799999875164,11.795281823532154,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[21,40]",30.5,-1.0629433045853602,8.658848449880221,-18.034286266350595,15.908399657179874,16
2021-03-31,eq_spot_fut,TOTAL,"bin_[-20,-1]","bin_[41,60]",50.5,-2.294245905011948,7.816254502749885,-17.61410473040172,13.025612920377826,16
2021-03-31,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-60,-41]",-50.5,-63.288214605275584,11.735543673078677,-86.28988020450979,-40.286549006041376,16
2021-03-31,eq_spot_fut,DIRECT,"bin_[-20,-1]","bin_[-40,-21]",-30.5,-45.76747012973232,8.228987081184423,-61.896284808853785,-29.638655450610848,16
