spec,term,coef,se,N
TOTAL,relief,-0.6019451525341246,9.722478736894775,90
TOTAL,relief:treasury_based,-8.535268800782631e-14,1.5105526150849457e-13,90
DIRECT,relief,-21.785317884574376,11.063224684799582,90
DIRECT,relief:treasury_based,-6.8491910463719e-13,1.38381411600741e-12,90
