term,coef,se
const,2.02559306874321,1.9561487305089325
relief,-10.385719894770673,6.695320639356968
relief_x_exempt,-9.993955532119005,6.104635696457033
relief_x_util,-8.704141497997385,5.6070897582476835
d_VIX,0.7519077348394247,0.32672046870979227
d_HY_OAS,31.128811552602944,8.809572709479378
d_BAA10Y,-21.901706875845875,25.24050650600564
d_issu_7_bil,1.3450443809956394e-14,1.4179619597860923e-14
d_issu_14_bil,0.311683515914183,0.12490808542953105
d_issu_30_bil,-0.3351620053688019,0.19433002689137593
d_SOFR,-2.8574187783095497,1.5424009509965086
d_spr_tgcr,-0.03969232057929423,0.0603207341326872
relief_x_treas,0.0,0.0
relief_x_exempt_x_treas,0.0,0.0
relief_x_util_x_treas,0.0,0.0
