series,strategy,raw_median_abs,buggy_median_abs,fixed_median_abs,scale_factor_applied
CIP_AUD_ln,cip,9.89067518869312,989.0675188693119,9.89067518869312,100.0
CIP_CAD_ln,cip,12.747893427250187,1274.7893427250185,12.747893427250187,99.99999999999999
CIP_CHF_ln,cip,31.1436974052873,31.1436974052873,31.1436974052873,1.0
CIP_EUR_ln,cip,36.22497213945551,36.22497213945551,36.22497213945551,1.0
CIP_GBP_ln,cip,10.703539059277643,1070.3539059277643,10.703539059277643,100.0
CIP_JPY_ln,cip,38.77229224891411,38.77229224891411,38.77229224891411,1.0
CIP_NZD_ln,cip,11.978674137837135,1197.8674137837133,11.978674137837135,99.99999999999999
CIP_SEK_ln,cip,22.60961466166568,22.60961466166568,22.60961466166568,1.0
Treasury_SF_STACKED,ust_spot_fut,18.73511111111111,1873.511111111111,18.73511111111111,100.0
Treasury_SF_2Y,ust_spot_fut,18.754999999999995,1875.4999999999995,18.754999999999995,100.0
Treasury_SF_5Y,ust_spot_fut,17.374666666666663,1737.4666666666662,17.374666666666663,100.0
Treasury_SF_10Y,ust_spot_fut,23.480111111111118,23.480111111111118,23.480111111111118,1.0
Treasury_SF_20Y,ust_spot_fut,20.269999999999985,20.269999999999985,20.269999999999985,1.0
Treasury_SF_30Y,ust_spot_fut,13.283222222222223,1328.3222222222223,13.283222222222223,100.0
arb_2,tips_treas,22.484597340108884,22.484597340108884,22.484597340108884,1.0
arb_5,tips_treas,19.418801550575836,1941.8801550575836,19.418801550575836,100.0
arb_10,tips_treas,24.56347264002568,24.56347264002568,24.56347264002568,1.0
arb_20,tips_treas,23.271964620736867,23.271964620736867,23.271964620736867,1.0
spread_SPX_filtered,eq_SPX,0.43611728869178,43.61172886917801,43.61172886917801,100.00000000000001
spread_SPX,eq_SPX,43.61172886917801,43.61172886917801,43.61172886917801,1.0
spread_NDX_filtered,eq_NDX,0.4008598363616564,40.085983636165636,40.085983636165636,99.99999999999999
spread_NDX,eq_NDX,40.08598363616564,40.08598363616564,40.08598363616564,1.0
spread_INDU_filtered,eq_INDU,0.47048922927919,47.048922927919,47.048922927919,100.0
spread_INDU,eq_INDU,47.048922927919,47.048922927919,47.048922927919,1.0
