strategy,series_id,tenor,treasury_based,regime,N_days,mean_W,median_W,mean_absW,median_absW,p5_W,p95_W
cip,cip_aud,0.25,0,post,197,11.926338118674396,10.599865244718124,11.96539039990384,10.599865244718124,7.207528587407677,18.94568543280888
cip,cip_aud,0.25,0,pre,326,-11.485989162884396,-8.373385723294824,15.216086576158377,10.313899649122272,-40.52596875273212,10.931449686490632
cip,cip_aud,0.25,0,relief,261,15.221309760605553,14.641961728797083,16.039607779631105,14.641961728797083,7.71504687335536,23.559442128214084
cip,cip_cad,0.25,0,post,197,13.503809822778928,11.32651809289758,13.503809822778928,11.32651809289758,5.534848225707216,26.28738875399035
cip,cip_cad,0.25,0,pre,326,27.7690183806034,25.256924187518642,27.7690183806034,25.256924187518642,13.320253626955871,45.13880396473146
cip,cip_cad,0.25,0,relief,261,25.985995892273735,24.902843676793907,25.985995892273735,24.902843676793907,16.76642223328888,44.63469860212087
cip,cip_chf,0.25,0,post,197,19.029942066877336,15.480526042994892,19.029942066877336,15.480526042994892,8.572780724818843,37.660163731311556
cip,cip_chf,0.25,0,pre,326,42.58697665956387,37.76832462142596,42.58697665956387,37.76832462142596,19.069599203644827,82.05752360315324
cip,cip_chf,0.25,0,relief,261,29.789585553147386,26.778966924829675,29.789585553147386,26.778966924829675,18.956587418191567,48.37106140711244
cip,cip_eur,0.25,0,post,196,23.041616037773093,17.448090369995622,23.041616037773093,17.448090369995622,13.996411787279275,41.51635595340369
cip,cip_eur,0.25,0,pre,326,39.57682258504111,35.86043524911301,40.56143870157273,35.86043524911301,19.046945405846444,70.99556948345837
cip,cip_eur,0.25,0,relief,261,29.347715664565783,26.271919661356065,29.347715664565783,26.271919661356065,21.3255704623313,46.62990745017425
cip,cip_gbp,0.25,0,post,196,10.09264181842794,5.26091693376819,10.126165264845662,5.26091693376819,0.7045253164138428,28.834043345666046
cip,cip_gbp,0.25,0,pre,326,22.45386085967231,19.78269973652826,22.45386085967231,19.78269973652826,8.648063190405146,46.12169073798578
cip,cip_gbp,0.25,0,relief,261,19.391577143253073,17.577593824714082,19.391577143253073,17.577593824714082,9.987149976515084,34.01540411567195
cip,cip_jpy,0.25,0,post,196,24.04692795877813,20.13491288203312,24.04692795877813,20.13491288203312,15.963218647281739,39.93740714442758
cip,cip_jpy,0.25,0,pre,326,56.68076673150239,50.02199635227433,56.68076673150239,50.02199635227433,35.4488540699347,102.61918876565659
cip,cip_jpy,0.25,0,relief,261,40.720366148142546,38.80201465923848,40.720366148142546,38.80201465923848,25.91585583849723,68.77839163401755
cip,cip_nzd,0.25,0,post,197,9.287437076225725,8.169932005265615,9.287437076225725,8.169932005265615,2.5405886268161364,18.34959640186163
cip,cip_nzd,0.25,0,pre,326,-6.269592955818915,-4.794244123354254,7.566815421453008,5.149019611128862,-21.33549058949402,3.5384920448254618
cip,cip_nzd,0.25,0,relief,261,10.101933510837046,11.57858974288994,13.792011967158302,12.843295410874186,-14.93663321858005,29.522392574922936
cip,cip_sek,0.25,0,post,197,26.428463353543293,18.69682280159906,26.428463353543293,18.69682280159906,12.913387575455982,61.755507484729065
cip,cip_sek,0.25,0,pre,326,29.811387594243698,25.16653224579531,29.811387594243698,25.16653224579531,11.39677581219932,62.92154688119797
cip,cip_sek,0.25,0,relief,261,31.722599641149554,29.31730843546839,31.722599641149554,29.31730843546839,20.968233916969822,52.73589218104374
eq_spot_fut,eq_indu,,0,post,189,58.64966500157011,52.25801214992896,58.64966500157011,52.25801214992896,37.62937160241478,85.1561411635406
eq_spot_fut,eq_indu,,0,pre,310,35.14472616659616,30.63633225931439,35.9504243847862,30.80529023014644,3.2723876518277555,70.7534877057228
eq_spot_fut,eq_indu,,0,relief,248,55.073383838211626,46.359321534041726,55.26243550749814,46.359321534041726,18.636589289827615,114.49679446317802
eq_spot_fut,eq_ndx,,0,post,189,43.55511365301409,32.29203842581888,43.55511365301409,32.29203842581888,26.681408814308977,70.86751962027026
eq_spot_fut,eq_ndx,,0,pre,310,26.217443279399845,20.08976844039467,26.65704680879365,20.08976844039467,5.905226671777835,56.56855859331618
eq_spot_fut,eq_ndx,,0,relief,248,32.42441651651458,28.430873753216225,32.43388309365458,28.430873753216225,13.375077665757015,62.440388462792086
eq_spot_fut,eq_spx,,0,post,189,50.500824852398466,40.328433979721126,50.500824852398466,40.328433979721126,34.896445130481936,76.7225314387012
eq_spot_fut,eq_spx,,0,pre,309,35.11052164946774,28.8614405292118,35.2838778680825,28.8614405292118,7.937316541191092,69.8791075161698
eq_spot_fut,eq_spx,,0,relief,248,48.099325547032336,41.117412697310435,48.099325547032336,41.117412697310435,32.31233655689067,75.52565226299076
tips_treas,tips_treas_10y,10.0,1,post,190,10.348859909517781,11.429427225783115,10.418955933969075,11.429427225783115,1.139261026229965,19.188828009252358
tips_treas,tips_treas_10y,10.0,1,pre,312,24.063608823715963,23.490105232557575,24.063608823715963,23.490105232557575,18.770192897339168,29.214089419139157
tips_treas,tips_treas_10y,10.0,1,relief,250,22.860466854293417,26.3123481566685,22.916059694267425,26.3123481566685,1.139261026229965,31.384954970462122
tips_treas,tips_treas_2y,2.0,1,post,190,11.698582423837403,13.402865873101135,14.828747294193741,13.402865873101135,-11.096371141282257,27.824476740651466
tips_treas,tips_treas_2y,2.0,1,pre,312,16.613716606846122,19.461887054976756,19.44111889847998,19.461887054976756,-9.685755969379057,36.83979545024895
tips_treas,tips_treas_2y,2.0,1,relief,250,16.95320454075053,22.276635067791652,21.41493007577263,22.542522198883972,-16.74263887652272,33.689751616938885
tips_treas,tips_treas_5y,5.0,1,post,190,8.830738564551703,9.024111689422973,9.000186940390389,9.024111689422973,-0.3525092179563237,16.858775388971623
tips_treas,tips_treas_5y,5.0,1,pre,312,16.31353854869224,16.787260552553192,16.31353854869224,16.787260552553192,6.4369839667909305,24.270456039319544
tips_treas,tips_treas_5y,5.0,1,relief,250,13.848709435740211,16.151514161769633,14.109888441092094,16.151514161769633,-0.3772483587018781,22.28122905855334
ust_spot_fut,ust_sf_10y,10.0,1,post,192,10.058698784722223,8.919944444444447,10.167705729166668,8.919944444444447,2.7849277777777774,20.106225
ust_spot_fut,ust_sf_10y,10.0,1,pre,314,-20.84768292993631,-23.370944444444433,24.702991047416845,24.47472222222224,-39.133906666666675,6.943472222222206
ust_spot_fut,ust_sf_10y,10.0,1,relief,251,-5.390431606905711,-6.097,8.179299335989375,6.808666666666667,-16.039166666666667,7.676944444444444
ust_spot_fut,ust_sf_2y,2.0,1,post,192,9.987076967592593,8.045,12.566931273148148,8.045,-3.1818277777777766,27.390916666666666
ust_spot_fut,ust_sf_2y,2.0,1,pre,314,-24.39395821656051,-24.26800000000003,25.633298478414723,24.26800000000003,-37.965513333333334,-9.583833333333363
ust_spot_fut,ust_sf_2y,2.0,1,relief,251,-5.787699867197876,-5.9962222222222215,7.557536626826029,7.091666666666668,-16.110500000000002,9.449
ust_spot_fut,ust_sf_5y,5.0,1,post,192,5.499566550925926,5.272555555555554,5.7895719097222225,5.272555555555554,-0.36631666666666723,12.764
ust_spot_fut,ust_sf_5y,5.0,1,pre,314,-25.37409331210191,-26.269444444444403,26.368478506723285,26.269444444444403,-39.85540222222223,-6.644555555555532
ust_spot_fut,ust_sf_5y,5.0,1,relief,251,-6.253444444444446,-6.504888888888891,7.681182629482072,6.992555555555555,-17.793333333333333,5.933
